"ID","Stock_short","significant","AIC_diff","wing_spread_effect","1","2","3","4"
1,"GBYT","No",0.850146113276423,NA,NA,NA,"Standard",NA
1,"GBYT","No",1.61121447881942,NA,NA,NA,NA,"Standard"
1,"GBYT","No",1.8195330708968,NA,"Standard",NA,NA,NA
1,"GBYT","No",1.97201343472716,NA,NA,"Standard",NA,NA
2,"GBcod","No",1.48870970620192,NA,"Standard",NA,NA,NA
2,"GBcod","No",1.86175630372054,NA,NA,"Standard",NA,NA
2,"GBcod","No",1.90658135766716,NA,NA,NA,"Standard",NA
2,"GBcod","No",1.99748997046754,NA,NA,NA,NA,"Standard"
3,"GBhaddock","No",1.05717047305006,NA,NA,NA,"Standard",NA
3,"GBhaddock","No",1.4410553405105,NA,NA,NA,NA,"Standard"
3,"GBhaddock","No",1.83473807401606,NA,"Standard",NA,NA,NA
3,"GBhaddock","No",1.88560569862602,NA,NA,"Standard",NA,NA
4,"Fluke","No",0.1669750777437,NA,NA,NA,NA,"Standard"
